GOCI2_Latitude,GOCI2_Longitude,Himawari_Latitude,Himawari_Longitude,Chlorophyll,Albedo_01,Albedo_02,Albedo_03,Albedo_04
32.941772,136.91855,32.940002,136.92,0.1886549,0.1087,0.0731,0.0288,0.0106999995
32.12226,123.03502,32.120003,123.04,1.3376123,0.1432,0.1105,0.0565,0.0297
25.408646,128.5634,25.41,128.56,0.08160425,0.119399995,0.0808,0.033299997,0.0143
28.112986,129.53407,28.11,129.53,0.102712,0.1266,0.086799994,0.0423,0.0273
29.716969,124.6213,29.720001,124.62,0.40119845,0.1171,0.0844,0.039699998,0.021399999
26.620764,131.83376,26.62,131.83,0.08952186,0.1135,0.0778,0.030199999,0.0137
30.840715,138.8633,30.84,138.86,0.13899629,0.1087,0.071899995,0.0264,0.0089
34.190147,140.70662,34.190002,140.70999,0.14082138,0.1087,0.0707,0.0253,0.0083
43.59472,135.60732,43.59,135.61,0.54422873,0.1218,0.086799994,0.0346,0.0154
38.23601,135.36256,38.24,135.36,0.17206948,0.1266,0.0885,0.038799997,0.0178
30.520075,130.0389,30.52,130.04,0.24084249,0.1503,0.1129,0.0673,0.0458
33.7149,138.64497,33.71,138.64,0.14189121,0.109299995,0.0707,0.026099999,0.0095
35.47243,129.65846,35.47,129.66,0.9069597,0.20619999,0.1735,0.1321,0.1343
32.436123,137.7936,32.440002,137.79,0.1674988,0.105799995,0.0713,0.0253,0.0089
33.240967,125.84669,33.239998,125.85,0.4316708,0.1147,0.0796,0.0354,0.0154
32.206318,138.399,32.21,138.4,0.1859997,0.1052,0.070099995,0.0264,0.0106999995
38.745285,134.72154,38.75,134.72,0.61992884,0.12889999,0.0927,0.0455,0.0279
33.53498,141.11967,33.53,141.12,0.117728055,0.1099,0.0731,0.0279,0.011299999
32.04025,136.68282,32.04,136.68,0.26957497,0.107599996,0.0725,0.0287,0.0131
33.772312,141.31747,33.77,141.32,0.15265273,0.111099996,0.0743,0.0273,0.011299999
27.641207,137.82556,27.640001,137.83,0.08596285,0.1064,0.0689,0.025799999,0.0101
38.487873,128.9261,38.49,128.93,0.4603259,0.122999996,0.0885,0.0383,0.017199999
27.350367,128.91133,27.35,128.91,0.09296636,0.1153,0.078999996,0.0313,0.0143
27.35292,127.648735,27.35,127.65,0.09992457,0.1117,0.0755,0.0299,0.012499999
33.17566,142.58537,33.18,142.59,0.117208324,0.1081,0.0707,0.0267,0.0077
36.120552,134.71907,36.12,134.72,0.3281002,0.12,0.0844,0.0352,0.0166
30.033602,136.28197,30.03,136.28,0.1201215,0.1052,0.0695,0.0256,0.0083
33.36305,125.97329,33.36,125.97,0.42367256,0.114099994,0.0808,0.0376,0.0178
28.670229,127.72474,28.67,127.72,0.14374427,0.1117,0.0749,0.030499998,0.0149
30.667032,131.90717,30.67,131.91,0.22432116,0.109299995,0.0743,0.0297,0.011899999
43.327183,135.38379,43.33,135.38,0.53042495,0.1206,0.0862,0.0352,0.0154
32.65149,132.28813,32.65,132.29,0.28302306,0.1171,0.0826,0.0345,0.017199999
24.026232,135.39572,24.03,135.4,0.05466394,0.105799995,0.067099996,0.024799999,0.011299999
27.23471,133.18788,27.230001,133.19,0.10182428,0.1099,0.0731,0.029399998,0.011899999
32.766666,126.08399,32.77,126.08,0.37370354,0.1135,0.0814,0.0376,0.0184
31.884897,138.30202,31.880001,138.3,0.18883823,0.1052,0.070099995,0.025999999,0.0101
32.64405,127.671646,32.64,127.67,0.25002328,0.119399995,0.083799995,0.035099998,0.019
32.403397,123.14053,32.4,123.14,1.3889623,0.1325,0.1028,0.048899997,0.024999999
30.948875,143.27837,30.95,143.28,0.23632409,0.1236,0.0903,0.043199997,0.0267
33.499676,127.354904,33.5,127.35,0.3442807,0.1955,0.17109999,0.1248,0.1206
46.717335,139.78415,46.72,139.78,0.6160268,0.1396,0.1016,0.0447,0.022599999
38.17662,135.34991,38.18,135.35,0.26313522,0.19909999,0.18239999,0.1178,0.1396
27.443573,141.00682,27.44,141.01,0.12130667,0.105799995,0.0689,0.0253,0.0089
27.939049,143.40315,27.94,143.4,0.08598203,0.1087,0.0689,0.0257,0.0137
31.12197,138.51314,31.12,138.51,0.1760416,0.105799995,0.070099995,0.0251,0.0095
32.17004,137.07414,32.17,137.07,0.21247764,0.1046,0.070099995,0.025999999,0.0083
28.704542,129.35922,28.7,129.36,0.12089334,0.1147,0.0778,0.0319,0.0143
39.699127,143.01636,39.7,143.02,0.43533668,0.1284,0.0915,0.0404,0.0184
25.842537,128.45303,25.84,128.45,0.07586063,0.1171,0.078999996,0.0327,0.0149
30.487337,131.96902,30.49,131.97,0.20466408,0.111099996,0.0749,0.030199999,0.011299999
31.330997,127.41017,31.33,127.41,0.2250615,0.1295,0.095699996,0.0425,0.0244
29.22138,137.70058,29.220001,137.7,0.09524036,0.111099996,0.0731,0.026899999,0.0101
31.193748,125.917244,31.19,125.92,0.4168217,0.121199995,0.0897,0.042,0.0256
25.726557,134.14627,25.730001,134.15,0.08359885,0.1099,0.071899995,0.0284,0.0106999995
25.220531,128.76752,25.220001,128.77,0.11808959,0.1182,0.0802,0.0336,0.0166
36.669006,129.64323,36.67,129.64,0.47650075,0.1182,0.085599996,0.037,0.019
30.166677,140.66122,30.17,140.66,0.14607963,0.1218,0.085,0.0401,0.0279
36.69597,135.65147,36.7,135.65,0.3115935,0.13069999,0.0927,0.044299997,0.0232
27.300985,138.24759,27.300001,138.25,0.124131225,0.115899995,0.0778,0.033,0.0166
41.00546,131.94336,41.010002,131.94,0.5183895,0.119399995,0.085599996,0.0345,0.0143
32.61573,125.46169,32.620003,125.46,0.6192612,0.1182,0.085599996,0.0411,0.0184
26.67297,127.09863,26.67,127.1,0.09948695,0.115899995,0.077199996,0.0315,0.0143
27.156769,130.75093,27.16,130.75,0.16097134,0.1295,0.0903,0.0422,0.022599999
30.075792,131.7108,30.08,131.71,0.23204032,0.1081,0.0731,0.029399998,0.011299999
24.43133,136.86638,24.43,136.87,0.08166029,0.1064,0.0683,0.024699999,0.0089
36.89542,125.44974,36.9,125.45,1.1180778,0.1171,0.0844,0.036399998,0.0137
38.717846,143.30618,38.72,143.31,0.31600007,0.12719999,0.0903,0.0401,0.021399999
28.036077,125.31021,28.04,125.31,0.26821274,0.1064,0.073699996,0.0296,0.012499999
28.402922,143.04103,28.4,143.04,0.10074928,0.1064,0.0677,0.024699999,0.0089
36.335186,135.93057,36.34,135.93,0.30662078,0.121199995,0.085599996,0.037299998,0.015999999
27.678316,134.72795,27.68,134.73,0.07378,0.1105,0.0713,0.026999999,0.0106999995
32.006138,124.2325,32.010002,124.23,1.1113905,0.122999996,0.0915,0.042,0.0196
30.502396,123.94461,30.5,123.94,1.5103483,0.1153,0.083799995,0.039699998,0.0202
40.86131,130.92758,40.86,130.93,0.49398428,0.1218,0.0879,0.0368,0.015999999
39.28,136.62428,39.28,136.62,0.33085287,0.1218,0.0879,0.0376,0.0184
32.073967,139.38306,32.07,139.38,0.14192632,0.107,0.070099995,0.0264,0.0083
32.74915,133.81847,32.75,133.82,0.24938704,0.12889999,0.0909,0.040599998,0.022599999
26.903101,132.02724,26.9,132.03,0.070911564,0.1064,0.0689,0.0256,0.0083
28.236862,135.66591,28.24,135.67,0.069596134,0.1206,0.0826,0.0352,0.019
26.462528,126.13065,26.460001,126.13,0.12854403,0.115899995,0.0796,0.033299997,0.0166
29.750908,139.39102,29.75,139.39,0.10128518,0.1087,0.0713,0.0257,0.012499999
28.48036,126.829254,28.48,126.83,0.13049352,0.107599996,0.071899995,0.0279,0.011899999
32.66484,142.3161,32.66,142.32,0.10150188,0.1105,0.0713,0.026999999,0.0106999995
37.362793,125.27775,37.36,125.28,2.7901044,0.126,0.0951,0.040599998,0.017199999
32.54139,135.19199,32.54,135.19,0.23559253,0.1278,0.0897,0.0367,0.0196
33.540165,137.10052,33.54,137.1,0.18600719,0.1105,0.0761,0.03,0.0143
27.963255,126.29603,27.960001,126.3,0.12606174,0.1218,0.085,0.039499998,0.0279
35.468998,141.87361,35.47,141.87,0.11743376,0.117699996,0.0784,0.0309,0.0184
32.536804,136.27711,32.54,136.28,0.18347731,0.1105,0.0755,0.03,0.011899999
30.963173,132.71637,30.960001,132.72,0.14294423,0.1129,0.0755,0.029099999,0.0137
45.24776,138.70088,45.25,138.7,0.41432002,0.13069999,0.0933,0.038799997,0.0178
29.70044,124.560875,29.7,124.56,0.392655,0.124199994,0.0915,0.045199998,0.0285
28.496328,130.93135,28.5,130.93,0.18964131,0.1355,0.095699996,0.046099998,0.0279
32.772953,126.83486,32.77,126.83,0.2843091,0.119399995,0.085599996,0.039699998,0.0131
28.75996,135.16232,28.76,135.16,0.104703434,0.14739999,0.1081,0.0735,0.055299997
33.0133,130.33653,33.010002,130.34,2.5323184,0.1319,0.103999995,0.0526,0.0297
32.12853,128.50676,32.13,128.51,0.3211059,0.2068,0.17889999,0.1466,0.1515
27.853363,130.09135,27.85,130.09,0.09950725,0.1182,0.0802,0.033,0.0137
33.9244,142.8637,33.92,142.86,0.13448805,0.109299995,0.0731,0.026099999,0.0089
39.432922,142.55101,39.43,142.55,0.36480767,0.126,0.0897,0.0391,0.0178
35.451546,124.01497,35.45,124.01,0.46254456,0.12,0.0862,0.038,0.0166
34.650112,126.09816,34.65,126.1,2.9604359,0.13669999,0.1105,0.061899997,0.0196
29.274076,134.47014,29.27,134.47,0.11540169,0.1373,0.098,0.0468,0.0315
36.83611,135.43161,36.84,135.43,0.27150536,0.124199994,0.0874,0.0376,0.0184
28.479204,131.83446,28.48,131.83,0.15531291,0.12889999,0.089099996,0.040999997,0.021399999
36.012863,135.7168,36.010002,135.72,0.3380306,0.1188,0.0832,0.0358,0.0154
32.10551,141.12326,32.11,141.12,0.08591086,0.1117,0.0731,0.0296,0.011899999
28.68022,135.23566,28.68,135.24,0.095137514,0.115899995,0.0778,0.032199997,0.015999999
27.894232,137.68718,27.890001,137.69,0.098867305,0.115899995,0.078999996,0.0345,0.019
