Albedo_01,Albedo_02,Albedo_03,Albedo_04,Chlorophyll
0.1171,0.078999996,0.0327,0.0149,0.07586063
0.111099996,0.0749,0.030199999,0.011299999,0.20466408
0.1295,0.095699996,0.0425,0.0244,0.2250615
0.111099996,0.0731,0.026899999,0.0101,0.09524036
0.121199995,0.0897,0.042,0.0256,0.4168217
0.1099,0.071899995,0.0284,0.0106999995,0.08359885
0.1182,0.0802,0.0336,0.0166,0.11808959
0.1182,0.085599996,0.037,0.019,0.47650075
0.1218,0.085,0.0401,0.0279,0.14607963
0.13069999,0.0927,0.044299997,0.0232,0.3115935
0.115899995,0.0778,0.033,0.0166,0.124131225
0.119399995,0.085599996,0.0345,0.0143,0.5183895
0.1182,0.085599996,0.0411,0.0184,0.6192612
0.115899995,0.077199996,0.0315,0.0143,0.09948695
0.1295,0.0903,0.0422,0.022599999,0.16097134
0.1081,0.0731,0.029399998,0.011299999,0.23204032
0.1064,0.0683,0.024699999,0.0089,0.08166029
0.1171,0.0844,0.036399998,0.0137,1.1180778
0.12719999,0.0903,0.0401,0.021399999,0.31600007
0.1064,0.073699996,0.0296,0.012499999,0.26821274
0.1064,0.0677,0.024699999,0.0089,0.10074928
0.121199995,0.085599996,0.037299998,0.015999999,0.30662078
0.1105,0.0713,0.026999999,0.0106999995,0.07378
0.122999996,0.0915,0.042,0.0196,1.1113905
0.1153,0.083799995,0.039699998,0.0202,1.5103483
0.1218,0.0879,0.0368,0.015999999,0.49398428
0.1218,0.0879,0.0376,0.0184,0.33085287
0.107,0.070099995,0.0264,0.0083,0.14192632
0.12889999,0.0909,0.040599998,0.022599999,0.24938704
0.1064,0.0689,0.0256,0.0083,0.070911564
0.1206,0.0826,0.0352,0.019,0.069596134
0.115899995,0.0796,0.033299997,0.0166,0.12854403
0.1087,0.0713,0.0257,0.012499999,0.10128518
0.107599996,0.071899995,0.0279,0.011899999,0.13049352
0.1105,0.0713,0.026999999,0.0106999995,0.10150188
0.126,0.0951,0.040599998,0.017199999,2.7901044
0.1278,0.0897,0.0367,0.0196,0.23559253
0.1105,0.0761,0.03,0.0143,0.18600719
0.1218,0.085,0.039499998,0.0279,0.12606174
0.117699996,0.0784,0.0309,0.0184,0.11743376
0.1105,0.0755,0.03,0.011899999,0.18347731
0.1129,0.0755,0.029099999,0.0137,0.14294423
0.13069999,0.0933,0.038799997,0.0178,0.41432002
0.124199994,0.0915,0.045199998,0.0285,0.392655
0.1355,0.095699996,0.046099998,0.0279,0.18964131
0.119399995,0.085599996,0.039699998,0.0131,0.2843091
0.14739999,0.1081,0.0735,0.055299997,0.104703434
0.1319,0.103999995,0.0526,0.0297,2.5323184
0.2068,0.17889999,0.1466,0.1515,0.3211059
0.1182,0.0802,0.033,0.0137,0.09950725
0.109299995,0.0731,0.026099999,0.0089,0.13448805
0.126,0.0897,0.0391,0.0178,0.36480767
0.12,0.0862,0.038,0.0166,0.46254456
0.13669999,0.1105,0.061899997,0.0196,2.9604359
0.1373,0.098,0.0468,0.0315,0.11540169
0.124199994,0.0874,0.0376,0.0184,0.27150536
0.12889999,0.089099996,0.040999997,0.021399999,0.15531291
0.1188,0.0832,0.0358,0.0154,0.3380306
0.1117,0.0731,0.0296,0.011899999,0.08591086
0.115899995,0.0778,0.032199997,0.015999999,0.095137514
0.115899995,0.078999996,0.0345,0.019,0.098867305
0.119399995,0.0808,0.033099998,0.0154,0.08896975
0.115899995,0.0844,0.0392,0.0202,0.6308848
0.1099,0.0713,0.026899999,0.011299999,0.08271564
0.1266,0.0879,0.0394,0.0202,0.14639272
0.1147,0.081999995,0.0352,0.015999999,0.44009784
0.12,0.085599996,0.038599998,0.0244,0.22119778
0.1182,0.0844,0.0401,0.0196,0.26513463
0.1165,0.0731,0.0312,0.011899999,0.076121025
0.1182,0.083799995,0.036399998,0.017199999,0.27725834
0.2514,0.2175,0.1707,0.2312,0.19172731
0.1147,0.0743,0.0319,0.0131,0.080982596
0.12239999,0.0885,0.0401,0.022,0.56797475
0.1171,0.0808,0.036399998,0.023799999,0.116097234
0.1301,0.0909,0.051799998,0.0357,0.09911082
0.1129,0.077199996,0.0315,0.0131,0.18310215
0.12539999,0.0933,0.044999998,0.024999999,0.866624
0.115899995,0.0814,0.031799998,0.0154,0.3351039
0.1099,0.071899995,0.0263,0.0083,0.11435744
0.1165,0.0784,0.033,0.017199999,0.37416086
0.12239999,0.0915,0.045199998,0.022599999,1.1046917
0.1064,0.0725,0.0275,0.012499999,0.19903594
0.105799995,0.070099995,0.024799999,0.0101,0.079186805
0.15269999,0.1147,0.067,0.0499,0.19829848
0.1087,0.0707,0.0267,0.011299999,0.086819865
0.1087,0.0725,0.026899999,0.011899999,0.07033472
0.1129,0.0761,0.0313,0.0143,0.14562267
0.105799995,0.0731,0.0284,0.012499999,0.22814491
0.121199995,0.0862,0.0349,0.0149,2.4951952
0.11229999,0.0749,0.033299997,0.0166,0.059594207
0.1426,0.1105,0.0633,0.0416,0.6361753
0.1165,0.0814,0.0336,0.0137,0.32156643
0.1278,0.089099996,0.0392,0.0184,0.15110847
0.1236,0.087299995,0.043399997,0.0309,0.09196328
0.1034,0.0689,0.0254,0.0095,0.21074413
0.114099994,0.0731,0.026999999,0.0089,0.1181113
0.1533,0.117699996,0.0823,0.060599998,0.48745224
0.1515,0.124199994,0.076799996,0.081999995,0.09711575
0.15089999,0.1135,0.067099996,0.0713,0.12523143
0.1444,0.111099996,0.061899997,0.050499998,0.41052505
0.114099994,0.0761,0.029099999,0.0137,0.15509139
0.1046,0.070099995,0.0257,0.0106999995,0.18558882
0.1147,0.0778,0.031799998,0.015999999,0.110691786
0.11229999,0.0784,0.0327,0.0149,0.29102638
0.1135,0.0743,0.0279,0.0089,0.106499925
0.114099994,0.0743,0.029,0.0106999995,0.118538976
0.1147,0.0832,0.0371,0.0196,1.109464
0.1129,0.0749,0.028199999,0.0137,0.072519876
0.107,0.070099995,0.026099999,0.0095,0.10668812
0.1414,0.1064,0.056199998,0.0321,0.28128886
0.11229999,0.073699996,0.027199998,0.011899999,0.082171194
0.11229999,0.0725,0.0273,0.0131,0.060452536
0.114099994,0.0749,0.0316,0.015999999,0.0687854
0.1236,0.087299995,0.04,0.0202,0.34445438
0.105799995,0.0689,0.025799999,0.011899999,0.08712011
0.1105,0.0725,0.0264,0.0089,0.13935757
0.1188,0.0844,0.0365,0.0184,0.2739402
0.12,0.083799995,0.037699997,0.017199999,0.2982396
0.1557,0.117699996,0.0729,0.055299997,0.47766095
0.1153,0.0814,0.033999998,0.0178,0.11899329
0.1182,0.083799995,0.0413,0.022,0.50895524
0.1171,0.0862,0.0339,0.0137,0.97313887
0.1099,0.076699995,0.031,0.0137,0.21725528
0.105799995,0.0749,0.0284,0.0101,0.5579613
0.1129,0.0749,0.0297,0.011899999,0.096449375
0.1087,0.076699995,0.031,0.0131,0.2662697
0.109299995,0.0749,0.029,0.012499999,0.22288254
0.1278,0.0909,0.0499,0.022,0.3075303
0.121199995,0.083799995,0.0361,0.015999999,0.21134411
0.14199999,0.1165,0.061699998,0.044,0.2741949
0.1313,0.093899995,0.0435,0.023799999,0.36254352
0.1218,0.085,0.041699998,0.0184,0.3750037
0.111099996,0.0731,0.0273,0.0089,0.107333064
0.1182,0.0802,0.0337,0.0154,0.1335505
0.121199995,0.0826,0.0357,0.0178,0.15303154
0.121199995,0.081999995,0.0382,0.0244,0.09179592
0.114099994,0.0796,0.031,0.012499999,0.3172383
0.1379,0.0998,0.045199998,0.021399999,0.54827607
0.1135,0.078999996,0.031,0.0137,0.3330636
0.1581,0.1218,0.0835,0.071899995,0.082693554
0.1462,0.1046,0.0569,0.033299997,0.14351314
0.107599996,0.0683,0.0254,0.0089,0.08172794
0.1147,0.085,0.036199998,0.0285,0.15631478
0.1206,0.081999995,0.039699998,0.0244,0.13123435
0.117699996,0.078999996,0.0325,0.0166,0.09956692
0.1087,0.0707,0.025799999,0.0095,0.12147426
0.1105,0.0707,0.028199999,0.011899999,0.023536488
0.121199995,0.081999995,0.0379,0.0244,0.13543293
0.114099994,0.0814,0.0343,0.015999999,0.59345794
0.111099996,0.073699996,0.0279,0.011899999,0.104168676
0.3078,0.2579,0.20279999,0.2145,0.19725476
0.12539999,0.0862,0.0385,0.0208,0.10512173
0.124199994,0.0897,0.041899998,0.022,0.3235687
0.139,0.1046,0.053299997,0.0541,0.09198565
0.107,0.0707,0.0264,0.0077,0.1325005
0.1165,0.078999996,0.036,0.0196,0.1212047
0.1313,0.0963,0.0446,0.0232,0.5607201
0.12,0.083799995,0.038,0.0154,0.080554895
0.1087,0.0707,0.0254,0.0071,0.10799695
0.114099994,0.0743,0.028199999,0.011299999,0.08115126
0.12539999,0.0933,0.044299997,0.022,1.6110531
0.1182,0.0832,0.037,0.0178,0.25898826
0.12719999,0.092099994,0.0401,0.0178,0.53090787
0.107,0.0683,0.0242,0.0089,0.06616177
0.114099994,0.0755,0.030199999,0.0131,0.124199666
0.1081,0.0713,0.026899999,0.0077,0.12337421
0.114099994,0.0808,0.0349,0.0196,0.27130207
0.1165,0.0784,0.033099998,0.0149,0.118665285
0.1052,0.0683,0.0251,0.011299999,0.079161674
0.1117,0.0755,0.0299,0.0101,0.14250445
0.1188,0.0814,0.0367,0.0184,0.104242
0.1099,0.071899995,0.0253,0.0095,0.09999025
0.1349,0.1034,0.050699998,0.0244,2.1414845
0.1295,0.0927,0.0426,0.022,0.1849886
0.107,0.0689,0.0244,0.0083,0.078385375
0.1182,0.0879,0.0392,0.0178,2.5223742
0.1188,0.078999996,0.032199997,0.0154,0.08308572
0.1147,0.077199996,0.0299,0.0131,0.13464756
0.1301,0.0915,0.042799998,0.022,0.13053001
0.114099994,0.0796,0.034199998,0.0166,0.19463784
0.111099996,0.0761,0.026999999,0.0178,0.06655982
0.12,0.0879,0.041899998,0.022599999,0.66636
0.107599996,0.0784,0.033,0.019,0.39244598
0.12239999,0.0802,0.0357,0.0178,0.17476209
0.1278,0.0885,0.0411,0.0184,0.40569323
0.1248,0.085599996,0.0371,0.019,0.12810296
0.1147,0.0755,0.0357,0.0101,0.11411958
0.1153,0.076699995,0.0288,0.011299999,0.108110756
0.1188,0.086799994,0.042799998,0.0166,0.5331035
0.117699996,0.0862,0.0407,0.0202,1.1322705
0.1099,0.0725,0.0264,0.0095,0.09454958
0.1563,0.1171,0.077,0.067099996,0.2766651
0.12239999,0.0832,0.0357,0.0256,0.18830478
0.12889999,0.0909,0.0423,0.021399999,0.21339841
0.1117,0.0743,0.029099999,0.0137,0.089906536
0.1081,0.0731,0.027199998,0.011899999,0.12324944
0.124199994,0.085599996,0.039699998,0.024999999,0.093097776
0.1301,0.089099996,0.041699998,0.026099999,0.11906936
0.1046,0.070099995,0.024799999,0.0083,0.21039613
0.109299995,0.071899995,0.0284,0.0149,0.09654704
0.109299995,0.071899995,0.029299999,0.0154,0.064866014
0.1081,0.0725,0.025999999,0.0101,0.14280257
0.1284,0.0998,0.047399998,0.015999999,3.1019044
0.1188,0.085,0.0394,0.012499999,0.15627722
0.1147,0.0743,0.0343,0.0137,0.098078415
0.1349,0.1004,0.0501,0.026099999,0.80027026
0.119399995,0.085,0.0374,0.0178,0.64326996
0.1236,0.0879,0.0365,0.015999999,0.6161084
0.1414,0.0951,0.0501,0.0398,0.09646862
0.12,0.085599996,0.037,0.017199999,0.4612728
0.1218,0.085599996,0.035099998,0.0137,0.5511419
0.1087,0.070099995,0.0266,0.011299999,0.090997495
0.1087,0.0755,0.030299999,0.0149,0.19261545
0.1545,0.1099,0.072299995,0.0565,1.1462555
0.1165,0.0802,0.032199997,0.0149,0.2023029
0.124199994,0.0814,0.038599998,0.0137,0.11266267
0.1105,0.0725,0.026999999,0.0106999995,0.07204449
0.1278,0.089099996,0.0404,0.0202,0.159504
0.1462,0.12,0.0513,0.0374,0.09714697
0.1236,0.0933,0.054199997,0.0131,0.09336561
0.1598,0.1248,0.0749,0.071899995,0.22236936
0.115899995,0.0826,0.0361,0.017199999,0.3179595
0.1206,0.0879,0.042799998,0.021399999,0.41723618
0.1171,0.0832,0.0339,0.0154,0.29809433
