iter	RMSE
0	0.3073784164
1	0.3008316598
2	0.2938837621
3	0.2887135032
4	0.2839196175
5	0.2793334515
6	0.2754233578
7	0.2722894237
8	0.2690952443
9	0.2663644827
10	0.2631046927
11	0.260557705
12	0.2580504531
13	0.2557241976
14	0.252936758
15	0.2502810179
16	0.2480740358
17	0.2462524847
18	0.2443017034
19	0.2422921427
20	0.2405760746
21	0.2390165591
22	0.237637861
23	0.2364415246
24	0.234782159
25	0.2334239121
26	0.2323909924
27	0.2314246023
28	0.2296851843
29	0.2281153311
30	0.2272609601
31	0.226405059
32	0.2256394246
33	0.2242180409
34	0.2235092831
35	0.2229191958
36	0.222300919
37	0.2209579889
38	0.2197500768
39	0.2193858279
40	0.2190282029
41	0.2183413947
42	0.2175985833
43	0.2170234123
44	0.2162178866
45	0.2158951828
46	0.2149361191
47	0.2144867286
48	0.2134917397
49	0.2126046479
50	0.2122948644
51	0.2120346423
52	0.2110140155
53	0.2103581651
54	0.2094342733
55	0.2091824304
56	0.2085841349
57	0.2078841807
58	0.2072301524
59	0.2068967136
60	0.206176625
61	0.2055168061
62	0.2053053153
63	0.2051019092
64	0.2045225026
65	0.2040084544
66	0.2035382779
67	0.2033139321
68	0.2027022743
69	0.2022161108
70	0.2017645294
71	0.2015798736
72	0.2012375506
73	0.2009240272
74	0.2007100944
75	0.2004348263
76	0.1999525535
77	0.1995078223
78	0.1992702843
79	0.1988008657
80	0.19844489
81	0.1981368833
82	0.1980041561
83	0.1975684938
84	0.1974699792
85	0.1971791624
86	0.1968915308
87	0.196746707
88	0.1965472028
89	0.196162331
90	0.1959089165
91	0.1957656588
92	0.1954267239
93	0.1951110427
94	0.1949408241
95	0.1945570981
96	0.1943844919
97	0.1941432457
98	0.1940089405
99	0.1938224091
100	0.1936171553
101	0.1934596698
102	0.1933381457
103	0.1932080463
104	0.1928633782
105	0.1927089634
106	0.1925123807
107	0.192325554
108	0.1920521673
109	0.191944271
110	0.1918565434
111	0.1915244275
112	0.1912319827
113	0.1910403091
114	0.1909606122
115	0.1908532036
116	0.1905481908
117	0.1904463897
118	0.1902515844
119	0.190003086
120	0.1898253747
121	0.1895426997
122	0.1894255227
123	0.1893695816
124	0.1892627991
125	0.1891476258
126	0.1890198148
127	0.1889110699
128	0.1888197041
129	0.1886848892
130	0.1885924291
131	0.1885177019
132	0.1884333805
133	0.1882416137
134	0.188177826
135	0.1880921071
136	0.1880070164
137	0.187767889
138	0.1875257559
139	0.1874076635
140	0.187270494
141	0.1870976605
142	0.1870092127
143	0.1869225632
144	0.1868417775
145	0.1867381852
146	0.1865115
147	0.1864452209
148	0.1862230368
149	0.1860081492
150	0.1859051036
151	0.1857261069
152	0.1856331871
153	0.185493993
154	0.1854528874
155	0.185373906
156	0.1851862396
157	0.1851457441
158	0.1850561128
159	0.1848829851
160	0.1848059571
161	0.1846480741
162	0.1845296375
163	0.1844149265
164	0.1843014503
165	0.1842542264
166	0.1841392525
167	0.1841079682
168	0.183986371
169	0.1838967841
170	0.1836965832
171	0.1836249745
172	0.1835492009
173	0.1834604196
174	0.1833946074
175	0.1832497819
176	0.1831845189
177	0.1831284619
178	0.1830215711
179	0.1829998574
180	0.1829611447
181	0.1828658922
182	0.1828120517
183	0.1827867577
184	0.1827149636
185	0.1826017087
186	0.1824646858
187	0.1824111345
188	0.1822950636
189	0.1822140789
190	0.1821346822
191	0.1820627475
192	0.1820049661
193	0.1818598065
194	0.1817940706
195	0.1817348414
196	0.18166394
197	0.1815462518
198	0.1815134243
199	0.1814631071
200	0.1814060349
201	0.1812734354
202	0.1812288521
203	0.1811640554
204	0.1810563941
205	0.1810146453
206	0.1809604965
207	0.1808673112
208	0.1808035312
209	0.1807771451
210	0.1807003687
211	0.1806764898
212	0.1806330694
213	0.1806241013
214	0.1806018763
215	0.1805478928
216	0.1804902537
217	0.1804531257
218	0.1803744852
219	0.1802514312
220	0.1801278391
221	0.1799776133
222	0.1799298274
223	0.179895048
224	0.1798709067
225	0.1798454831
226	0.179836982
227	0.1797973903
228	0.1797893624
229	0.1797121625
230	0.1796334031
231	0.1795282593
232	0.1794511978
233	0.1794312489
234	0.1793690334
235	0.1792641857
236	0.1791528371
237	0.1790496417
238	0.1790081035
239	0.178988812
240	0.178982448
241	0.178915564
242	0.1787901503
243	0.1787521742
244	0.1786838343
245	0.1786244972
246	0.1785261304
247	0.1784831527
248	0.1784407569
249	0.1783863228
250	0.1783134836
251	0.1782652411
252	0.1781785393
253	0.1780772144
254	0.1779620666
255	0.1778428128
256	0.1777574245
257	0.1776969118
258	0.1776738791
259	0.177618715
260	0.1775763702
261	0.1775703576
262	0.1775403205
263	0.1775171631
264	0.1774590945
265	0.1774292748
266	0.1773791973
267	0.1773599335
268	0.1773028219
269	0.1772592654
270	0.1772307061
271	0.1772051577
272	0.1771492526
273	0.1771117985
274	0.1770789713
275	0.1770582206
276	0.1769905633
277	0.1769431246
278	0.1768698173
279	0.1768535666
280	0.1767683534
281	0.1766864101
282	0.1766561768
283	0.1765812653
284	0.1765522178
285	0.1765460849
286	0.1765405671
287	0.1764951225
288	0.176419814
289	0.176383079
290	0.1763552106
291	0.1763043744
292	0.1762683593
293	0.1762537638
294	0.1762115072
295	0.1761392147
296	0.1760876845
297	0.1760156576
298	0.1759821079
299	0.1759673692
300	0.1759476518
301	0.1759038212
302	0.1758362202
303	0.1758234892
304	0.1757463311
305	0.1757166208
306	0.1756340091
307	0.1756209533
308	0.1755490669
309	0.1755024673
310	0.1754884939
311	0.1754612025
312	0.1754226929
313	0.1753862044
314	0.1753117988
315	0.1752987064
316	0.1752639152
317	0.1752449326
318	0.1752321528
319	0.1751992148
320	0.1751302883
321	0.175118202
322	0.1750989658
323	0.1750323102
324	0.1750161492
325	0.1749534351
326	0.1748846888
327	0.174862423
328	0.1748385602
329	0.174809703
330	0.1747973579
331	0.174770908
332	0.1747271398
333	0.1746431634
334	0.1746207931
335	0.1745775748
336	0.1745599476
337	0.1745002844
338	0.1744386305
339	0.1744086178
340	0.1743576893
341	0.174324206
342	0.1742630887
343	0.1742470594
344	0.1742131423
345	0.1741909693
346	0.1741156843
347	0.1741041435
348	0.1740696256
349	0.1740513679
350	0.173978807
351	0.1739691343
352	0.1739406839
353	0.1739129083
354	0.1738898342
355	0.1738791687
356	0.1738629163
357	0.1738460665
358	0.1738173806
359	0.1737982551
360	0.1737117842
361	0.1736842234
362	0.1736693401
363	0.1736638938
364	0.1736336328
365	0.1735842931
366	0.1735178574
367	0.1735042276
368	0.1734923106
369	0.1734677517
370	0.1734436895
371	0.1734208479
372	0.1733503886
373	0.1733327693
374	0.1733267662
375	0.1733058482
376	0.1732851763
377	0.1732538807
378	0.1732179521
379	0.1732136242
380	0.1731825836
381	0.1731350357
382	0.1731261719
383	0.1731210284
384	0.1731011771
385	0.1730581807
386	0.1730415702
387	0.1730046154
388	0.1729934296
389	0.1729807222
390	0.1729400824
391	0.1728594956
392	0.1728334566
393	0.1727818893
394	0.1727503925
395	0.1727425876
396	0.1727018279
397	0.172645706
398	0.172628321
399	0.1726182431
400	0.1726010443
401	0.1725489157
402	0.1725373832
403	0.1725152201
404	0.1724930744
405	0.1724425445
406	0.1724303749
407	0.1723621209
408	0.1722950736
409	0.1722798575
410	0.172250601
411	0.1722274737
412	0.17221292
413	0.172197265
414	0.1721773649
415	0.1721450861
416	0.1720946564
417	0.1720744769
418	0.1720364674
419	0.1720289825
420	0.1720030766
421	0.1719814921
422	0.1719677169
423	0.1719626316
424	0.1719446674
425	0.1719401037
426	0.1718953717
427	0.1718845614
428	0.1718760806
429	0.1718533377
430	0.1718377845
431	0.1718208816
432	0.1718035344
433	0.1717899027
434	0.1717673807
435	0.1717481195
436	0.1717368989
437	0.1716886789
438	0.1716185675
439	0.1716027179
440	0.1715425091
441	0.1715020119
442	0.1714841343
443	0.1714369023
444	0.1713809547
445	0.17136051
446	0.1713056609
447	0.1712962987
448	0.1712926518
449	0.1712572123
450	0.1712417529
451	0.1712137554
452	0.1711851467
453	0.1711558989
454	0.1711464106
455	0.1711423538
456	0.1711318608
457	0.171106121
458	0.1710758239
459	0.1710546477
460	0.1710444907
461	0.1710388244
462	0.17101156
463	0.1710095651
464	0.1710055499
465	0.1710012461
466	0.1709831739
467	0.1709251193
468	0.1708662365
469	0.1708630504
470	0.1708586199
471	0.1708014263
